Rang,Joueur,Salaire
1,Ben Simmons,$40 338 144
2,Nic Claxton,$27 556 817
3,Cameron Johnson,$22 500 000
4,Bojan Bogdanović,$19 032 850
5,Dorian Finney-Smith,$14 924 167
6,Dennis Schröder,$13 025 250
7,Ziaire Williams,$6 133 005
8,Cam Thomas,$4 041 249
9,Day'Ron Sharpe,$3 989 122
10,Noah Clowney,$3 244 080
11,Dariq Whitehead,$3 114 240
12,Shake Milton,$2 875 000
13,Trendon Watford,$2 726 603
14,Keon Johnson,$2 162 606
15,Jalen Wilson,$1 891 857
