Rang,Joueur,Salaire
1,Jimmy Butler,$48 798 677
2,Bam Adebayo,$34 848 340
3,Tyler Herro,$29 000 000
4,Terry Rozier,$24 924 126
5,Duncan Robinson,$19 406 000
6,Haywood Highsmith,$5 200 000
7,Kel'el Ware,$4 231 800
8,Kevin Love,$3 850 000
9,Jaime Jaquez Jr.,$3 685 800
10,Josh Richardson,$3 051 153
11,Nikola Jović,$2 464 200
12,Alec Burks,$2 087 519
13,Thomas Bryant,$2 087 519
14,Pelle Larsson,$1 157 153
