Rang,Joueur,Salaire
1,Tobias Harris,$25 365 854
2,Tim Hardaway Jr.,$16 193 183
3,Isaiah Stewart,$15 000 000
4,Cade Cunningham,$13 940 809
5,Ausar Thompson,$8 376 000
6,Ron Holland,$8 245 320
7,Jaden Ivey,$7 977 240
8,Paul Reed,$7 723 000
9,Simone Fontecchio,$7 692 308
10,Malik Beasley,$6 000 000
11,Jalen Duren,$4 536 840
12,Marcus Sasser,$2 755 080
13,Dewayne Dedmon,$2 748 674
14,Wendell Moore Jr.,$2 537 040
15,Bobi Klintman,$1 257 153
