Rang,Joueur,Salaire
1,LeBron James,$48 728 845
2,Anthony Davis,$43 219 440
3,D'Angelo Russell,$18 692 307
4,Rui Hachimura,$17 000 000
5,Austin Reaves,$12 976 362
6,Gabe Vincent,$11 000 000
7,Jarred Vanderbilt,$10 714 286
8,Max Christie,$7 142 857
9,Jalen Hood-Schifino,$3 879 840
10,Dalton Knecht,$3 819 120
11,Christian Wood,$3 036 040
12,Cam Reddish,$2 463 946
13,Jaxson Hayes,$2 463 946
14,Maxwell Lewis,$1 891 857
15,Bronny James,$1 157 153
