Rang,Joueur,Salaire
1,Kawhi Leonard,$49 205 800
2,James Harden,$33 653 846
3,Norman Powell,$19 241 379
4,Ivica Zubac,$11 743 210
5,P.J. Tucker,$11 539 000
6,Terance Mann,$11 423 077
7,Derrick Jones Jr.,$9 523 810
8,Kris Dunn,$5 168 000
9,Nicolas Batum,$4 668 000
10,Bones Hyland,$4 158 439
11,Amir Coffey,$3 938 271
12,Kobe Brown,$2 533 920
13,Kevin Porter Jr.,$2 237 691
14,Mo Bamba,$2 087 519
15,Cam Christie,$1 157 153
16,Joshua Primo,$1 000 000
