Rang,Joueur,Salaire
1,Zach LaVine,$43 031 940
2,Lonzo Ball,$21 395 348
3,Nikola Vučević,$20 000 000
4,Patrick Williams,$18 000 000
5,Coby White,$12 000 000
6,Jalen Smith,$8 571 429
7,Josh Giddey,$8 352 367
8,Ayo Dosunmu,$7 000 000
9,Jevon Carter,$6 500 000
10,Chris Duarte,$5 893 768
11,Matas Buzelis,$5 195 520
12,Dalen Terry,$3 510 480
13,Torrey Craig,$2 845 342
14,Talen Horton-Tucker,$2 087 519
15,Julian Phillips,$1 891 857
