Rang,Joueur,Salaire
1,Domantas Sabonis,$40 500 000
2,De'Aaron Fox,$34 848 340
3,DeMar DeRozan,$23 400 000
4,Malik Monk,$17 405 203
5,Kevin Huerter,$16 830 357
6,Keegan Murray,$8 809 560
7,Trey Lyles,$8 000 000
8,Devin Carter,$4 689 000
9,Colby Jones,$2 120 693
10,Keon Ellis,$2 120 693
11,Jordan McLaughlin,$2 087 519
12,Alex Len,$2 087 519
13,Orlando Robinson,$2 087 519
14,Doug McDermott,$2 087 519
