Rang,Joueur,Salaire
1,Darius Garland,$36 725 670
2,Donovan Mitchell,$35 410 310
3,Jarrett Allen,$20 000 000
4,Caris LeVert,$16 615 384
5,Max Strus,$15 212 068
6,Evan Mobley,$11 227 657
7,Isaac Okoro,$10 185 186
8,Georges Niang,$8 500 000
9,Dean Wade,$6 166 667
10,Jaylon Tyson,$3 326 160
11,Ty Jerome,$2 560 975
12,Sam Merrill,$2 164 993
13,Tristan Thompson,$2 087 519
14,Craig Porter Jr.,$1 891 857
15,Ricky Rubio,$1 301 031
