Rang,Joueur,Salaire
1,Deandre Ayton,$34 005 126
2,Jerami Grant,$29 793 104
3,Anfernee Simons,$25 892 857
4,Deni Avdija,$15 625 000
5,Robert Williams,$12 428 571
6,Matisse Thybulle,$11 025 000
7,Scoot Henderson,$10 259 160
8,Donovan Clingan,$6 836 400
9,Shaedon Sharpe,$6 614 160
10,Kris Murray,$2 990 040
11,Dalano Banton,$2 196 970
12,Duop Reath,$2 048 780
13,Jabari Walker,$2 019 699
14,Rayan Rupert,$1 891 857
15,Toumani Camara,$1 891 857
16,Eric Bledsoe,$1 300 000
17,Didi Louzada,$268 032
