Rang,Joueur,Salaire
1,Devin Vassell,$29 347 826
2,Keldon Johnson,$19 000 000
3,Harrison Barnes,$18 000 000
4,Zach Collins,$16 741 200
5,Victor Wembanyama,$12 768 960
6,Chris Paul,$10 460 000
7,Stephon Castle,$9 105 120
8,Tre Jones,$9 104 167
9,Jeremy Sochan,$5 570 040
10,Jalen McDaniels,$4 741 800
11,Malaki Branham,$3 217 920
12,Julian Champagnie,$3 000 000
13,Blake Wesley,$2 624 280
14,Charles Bassey,$2 087 519
15,Sandro Mamukelashvili,$2 087 519
16,Sidy Cissoko,$1 891 857
