Rang,Joueur,Salaire
1,Zion Williamson,$36 725 670
2,Brandon Ingram,$36 016 200
3,CJ McCollum,$33 333 333
4,Dejounte Murray,$29 517 135
5,Herbert Jones,$12 976 362
6,Trey Murphy III,$5 159 854
7,Jordan Hawkins,$4 525 680
8,Yves Missi,$3 193 200
9,Jeremiah Robinson-Earl,$2 196 970
10,Daniel Theis,$2 087 519
11,Javonte Green,$2 087 519
12,Jose Alvarado,$1 988 598
13,Karlo Matković,$1 407 153
14,Antonio Reeves,$1 157 153
15,Jaylen Nowell,$278 782
