Rang,Joueur,Salaire
1,Jordan Poole,$29 651 786
2,Kyle Kuzma,$23 522 727
3,Malcolm Brogdon,$22 500 000
4,Richaun Holmes,$12 648 321
5,Marvin Bagley III,$12 500 000
6,Alex Sarr,$11 245 680
7,Jonas Valančiūnas,$9 900 000
8,Bilal Coulibaly,$6 945 240
9,Saddiq Bey,$6 440 678
10,Corey Kispert,$5 705 887
11,Johnny Davis,$5 291 160
12,Carlton Carrington,$4 454 880
13,Kyshawn George,$2 825 520
14,Patrick Baldwin Jr.,$2 448 840
15,Anthony Gill,$2 237 691
16,Ryan Rollins,$600 000
