Rang,Joueur,Salaire
1,Damian Lillard,$48 787 676
2,Giannis Antetokounmpo,$48 787 676
3,Khris Middleton,$31 666 667
4,Brook Lopez,$23 000 000
5,Bobby Portis,$12 578 286
6,Pat Connaughton,$9 423 869
7,AJ Johnson,$2 795 294
8,MarJon Beauchamp,$2 733 720
9,A.J. Green,$2 120 693
10,Delon Wright,$2 087 519
11,Taurean Prince,$2 087 519
12,Gary Trent Jr.,$2 087 519
13,Andre Jackson Jr.,$1 891 857
14,Chris Livingston,$1 891 857
15,Tyler Smith,$1 157 153
