Rang,Joueur,Salaire
1,Karl-Anthony Towns,$49 205 800
2,OG Anunoby,$36 637 932
3,Jalen Brunson,$24 960 001
4,Mikal Bridges,$23 300 000
5,Josh Hart,$18 144 000
6,Mitchell Robinson,$14 318 182
7,Precious Achiuwa,$6 000 000
8,Miles McBride,$4 710 144
9,Jericho Sims,$2 092 344
10,Tyler Kolek,$2 087 519
11,Cameron Payne,$2 087 519
12,Pacome Dadiet,$1 808 080
