Rang,Joueur,Salaire
1,Kevin Durant,$51 179 021
2,Bradley Beal,$50 203 930
3,Devin Booker,$49 205 800
4,Jusuf Nurkić,$18 125 000
5,Grayson Allen,$15 625 000
6,Royce O'Neale,$9 375 000
7,Josh Okogie,$8 250 000
8,Nassir Little,$3 107 143
9,Ryan Dunn,$2 530 800
10,Damion Lee,$2 087 519
11,Mason Plumlee,$2 087 519
12,Monte Morris,$2 087 519
13,Tyus Jones,$2 087 519
14,Oso Ighodaro,$1 157 153
15,E.J. Liddell,$706 898
