Rang,Joueur,Salaire
1,Fred VanVleet,$42 846 615
2,Dillon Brooks,$22 255 493
3,Steven Adams,$12 600 000
4,Jalen Green,$12 483 048
5,Reed Sheppard,$10 098 960
6,Jabari Smith Jr.,$9 770 880
7,Amen Thompson,$9 249 960
8,Jeff Green,$8 000 000
9,Jock Landale,$8 000 000
10,Jae'Sean Tate,$7 565 217
11,Alperen Sengun,$5 424 654
12,Aaron Holiday,$4 668 000
13,Tari Eason,$3 695 160
14,Cam Whitmore,$3 379 080
15,AJ Griffin,$250 000
