Rang,Joueur,Salaire
1,Trae Young,$43 031 940
2,Clint Capela,$22 265 280
3,De'Andre Hunter,$21 696 429
4,Bogdan Bogdanović,$17 260 000
5,Onyeka Okongwu,$14 000 000
6,Zaccharie Risacher,$12 569 040
7,Larry Nance Jr.,$11 205 000
8,Dyson Daniels,$6 059 520
9,Jalen Johnson,$4 510 905
10,Kobe Bufkin,$4 299 000
11,Cody Zeller,$3 500 000
12,David Roddy,$2 847 240
13,Garrison Mathews,$2 230 253
14,Vit Krejci,$2 162 606
15,Mouhamed Gueye,$1 891 857
