Rang,Joueur,Salaire
1,Stephen Curry,$55 761 216
2,Andrew Wiggins,$26 276 786
3,Draymond Green,$24 107 143
4,De'Anthony Melton,$12 822 000
5,Gary Payton II,$9 130 000
6,Buddy Hield,$8 780 488
7,Kyle Anderson,$8 780 488
8,Kevon Looney,$8 000 000
9,Jonathan Kuminga,$7 636 307
10,Moses Moody,$5 803 269
11,Brandin Podziemski,$3 519 960
12,Lindy Waters III,$2 196 970
13,Trayce Jackson-Davis,$1 891 857
14,Gui Santos,$1 891 857
