Rang,Joueur,Salaire
1,Joel Embiid,$51 415 938
2,Paul George,$49 205 800
3,Tyrese Maxey,$35 147 000
4,Caleb Martin,$8 149 001
5,Kelly Oubre Jr.,$7 983 000
6,KJ Martin,$7 975 000
7,Andre Drummond,$5 000 000
8,Jared McCain,$4 020 360
9,Eric Gordon,$3 303 771
10,Kyle Lowry,$2 087 519
11,Reggie Jackson,$2 087 519
12,Guerschon Yabusele,$2 087 519
13,Ricky Council IV,$1 891 857
14,Adem Bona,$1 157 153
