Rang,Joueur,Salaire
1,Immanuel Quickley,$32 500 000
2,RJ Barrett,$25 794 643
3,Bruce Brown,$23 000 000
4,Jakob Poeltl,$19 500 000
5,Kelly Olynyk,$12 804 878
6,Chris Boucher,$10 810 000
7,Scottie Barnes,$10 130 980
8,Davion Mitchell,$6 451 077
9,Gradey Dick,$4 763 760
10,Ochai Agbaji,$4 310 280
11,Ja'Kobe Walter,$3 465 000
12,Garrett Temple,$2 087 519
13,Jamal Shead,$1 862 265
14,Jonathan Mogbo,$1 862 265
15,Javon Freeman-Liberty,$100 000
