Rang,Joueur,Salaire
1,Jaylen Brown,$49 700 000
2,Jayson Tatum,$34 848 340
3,Jrue Holiday,$30 000 000
4,Kristaps Porziņģis,$29 268 293
5,Derrick White,$20 071 429
6,Al Horford,$9 500 000
7,Payton Pritchard,$6 696 429
8,Jaden Springer,$4 018 363
9,Baylor Scheierman,$2 494 320
10,Xavier Tillman Sr.,$2 237 691
11,Neemias Queta,$2 162 606
12,Sam Hauser,$2 092 344
13,Luke Kornet,$2 087 519
14,Jordan Walsh,$1 891 857
