Rang,Joueur,Salaire
1,Luka Dončić,$43 031 940
2,Kyrie Irving,$41 000 000
3,Klay Thompson,$15 873 016
4,P.J. Washington,$15 500 000
5,Daniel Gafford,$13 394 160
6,Maxi Kleber,$11 000 000
7,Naji Marshall,$8 571 429
8,Dereck Lively II,$5 014 560
9,Quentin Grimes,$4 296 682
10,Dwight Powell,$4 000 000
11,Dante Exum,$3 150 000
12,Olivier-Maxence Prosper,$2 870 400
13,JaVale McGee,$2 208 856
14,Spencer Dinwiddie,$2 087 519
15,Markieff Morris,$2 087 519
16,Jaden Hardy,$2 019 699
