Rang,Joueur,Salaire
1,Lauri Markkanen,$42 176 400
2,John Collins,$26 580 000
3,Collin Sexton,$18 350 000
4,Jordan Clarkson,$14 092 577
5,Taylor Hendricks,$5 848 680
6,Cody Williams,$5 469 120
7,Drew Eubanks,$5 000 000
8,Keyonte George,$4 084 200
9,Svi Mykhailiuk,$3 500 000
10,Johnny Juzang,$3 087 519
11,Kyle Filipowski,$3 000 000
12,Walker Kessler,$2 965 920
13,Brice Sensabaugh,$2 571 480
14,Isaiah Collier,$2 512 680
15,Russell Westbrook,$2 327 525
16,Patty Mills,$2 087 519
